ds,y
2010-06-29,91097.5697215883
2010-06-30,91399.5929124717
2010-07-01,91440.4869124718
2010-07-02,90874.7125668623
2010-07-03,89891.5865668624
2010-07-04,86739.6535668623
2010-07-05,89871.0435668625
2010-07-06,92449.3704230421
2010-07-07,91041.3774230423
2010-07-08,92287.0350388579
2010-07-09,92371.0808000983
2010-07-10,93421.8638000983
2010-07-11,88933.7978000982
2010-07-12,89984.3728000982
2010-07-13,93579.5529704278
2010-07-14,92770.9043293321
2010-07-15,93216.6623293321
2010-07-16,91542.1689342368
2010-07-17,90521.0459511539
2010-07-18,89805.2739511539
2010-07-19,92463.5109161691
2010-07-20,93651.1556671516
2010-07-21,93074.1061456504
2010-07-22,91707.0792621028
2010-07-23,90454.9312808194
2010-07-24,90773.1712808197
2010-07-25,88740.6372808196
2010-07-26,91522.306031483
2010-07-27,91620.4178330698
2010-07-28,91244.6147632104
2010-07-29,91120.9917632106
2010-07-30,91946.6535033679
2010-07-31,90594.9845033678
2010-08-01,87192.5365033681
2010-08-02,89199.5655033679
2010-08-03,92311.5683007708
2010-08-04,91888.1433007703
2010-08-05,92397.9897883226
2010-08-06,92612.8572643784
2010-08-07,90839.2162643784
2010-08-08,87859.6762643787
2010-08-09,92120.336412716
2010-08-10,91273.7265347818
2010-08-11,91949.8788248577
2010-08-12,92207.9408730816
2010-08-13,91477.7108246644
2010-08-14,90617.0808246649
2010-08-15,86564.0738246646
2010-08-16,93596.6787769261
2010-08-17,92462.4894360737
2010-08-18,92620.1292235741
2010-08-19,94062.6474421649
2010-08-20,91688.6808582489
2010-08-21,91208.9228582489
2010-08-22,89578.6968582488
2010-08-23,93343.1358582486
2010-08-24,94519.8354286
2010-08-25,93937.2414285996
2010-08-26,92794.0301124232
2010-08-27,92321.6561124233
2010-08-28,92711.6911124232
2010-08-29,91933.6231124234
2010-08-30,93799.4736682487
2010-08-31,94705.6579237261
2010-09-01,93505.9758043526
2010-09-02,93537.4518043525
2010-09-03,92901.1628043521
2010-09-04,95414.3758043525
2010-09-05,96578.9618043526
2010-09-06,99704.3048043523
2010-09-07,98128.1928043522
2010-09-08,96764.8201182875
2010-09-09,97136.8596490933
2010-09-10,95938.3376490934
2010-09-11,97147.3996490929
2010-09-12,95555.4686490932
2010-09-13,98579.6074427303
2010-09-14,98147.8413424444
2010-09-15,97009.7925620703
2010-09-16,96246.6283566087
2010-09-17,96118.0891798652
2010-09-18,99448.2671798649
2010-09-19,98025.8621798647
2010-09-20,97717.4767526133
2010-09-21,97896.9492341802
2010-09-22,98167.0961685672
2010-09-23,98287.8528199432
2010-09-24,96954.4948199435
2010-09-25,97898.3208199434
2010-09-26,96475.1428199434
2010-09-27,98889.2429903979
2010-09-28,100512.240899777
2010-09-29,98735.9735219489
2010-09-30,99065.2936077274
2010-10-01,98136.3267045743
2010-10-02,101782.294704575
2010-10-03,99081.8767045744
2010-10-04,100762.229438355
2010-10-05,99589.3804383553
2010-10-06,98865.5474383551
2010-10-07,98551.9724383553
2010-10-08,98808.6568976111
2010-10-09,99954.1122290717
2010-10-10,99549.2818623095
2010-10-11,98859.1164305914
2010-10-12,99873.9784305915
2010-10-13,103425.647430592
2010-10-14,102831.398180592
2010-10-15,100232.155180592
2010-10-16,101289.518180592
2010-10-17,101149.233180592
2010-10-18,104002.715183303
2010-10-19,104329.064183303
2010-10-20,103602.384302094
2010-10-21,103288.707752524
2010-10-22,105091.144741772
2010-10-23,102719.565741772
2010-10-24,99847.6987417718
2010-10-25,104164.154741772
2010-10-26,106130.727921092
2010-10-27,105536.214050879
2010-10-28,106253.701950748
2010-10-29,107514.091226171
2010-10-30,104966.675726172
2010-10-31,109533.060726171
2010-11-01,110893.032226171
2010-11-02,111241.604766978
2010-11-03,109980.445627389
2010-11-04,108864.114361699
2010-11-05,108665.540068734
2010-11-06,109838.705068734
2010-11-07,111389.953068734
2010-11-08,112193.798323921
2010-11-09,112471.308323921
