,ds,y
192,2010-01-22,58906.30499982584
193,2010-01-23,71935.12099982575
194,2010-01-24,75137.47399982582
195,2010-01-25,59889.91099982575
196,2010-01-26,58579.55599982571
197,2010-01-27,58334.24699982582
198,2010-01-28,57993.71499982579
199,2010-01-29,58564.0029998258
200,2010-01-30,70133.73099982568
201,2010-01-31,73569.36799982583
202,2010-02-01,58800.11199982582
203,2010-02-02,57388.95953184542
204,2010-02-03,57070.72053184555
205,2010-02-04,57755.07353184561
206,2010-02-05,57768.0542586863
207,2010-02-06,69729.38225868635
208,2010-02-07,72241.10525868644
209,2010-02-08,58175.26425868643
210,2010-02-09,57084.52125868647
211,2010-02-10,57429.92025868637
212,2010-02-11,57177.32325868639
213,2010-02-12,59016.630258686404
214,2010-02-13,69952.66325868641
215,2010-02-14,70913.24525868654
216,2010-02-15,58216.11625868634
217,2010-02-16,58224.96825868644
218,2010-02-17,57633.42225868646
219,2010-02-18,57975.357258686316
220,2010-02-19,60017.706258686296
221,2010-02-20,70262.38325868637
222,2010-02-21,72357.56825868644
223,2010-02-22,57943.07225868636
224,2010-02-23,59156.82025868646
225,2010-02-24,57701.023258686386
226,2010-02-25,56881.10625868648
227,2010-02-26,58972.81825868632
228,2010-02-27,67751.7042586864
229,2010-02-28,69783.97225868651
230,2010-03-01,55188.30225868633
231,2010-03-02,55380.825258686345
232,2010-03-03,55986.889629376
233,2010-03-04,53839.63062937598
234,2010-03-05,55734.650629375865
235,2010-03-06,67530.87262937607
236,2010-03-07,68171.0816293759
237,2010-03-08,55035.92962937598
238,2010-03-09,54104.19062937593
239,2010-03-10,54155.223629376065
240,2010-03-11,53587.96362937592
241,2010-03-12,54909.027629376025
242,2010-03-13,64662.24162937609
243,2010-03-14,65023.49262937602
244,2010-03-15,52936.419973638396
245,2010-03-16,53969.421973638186
246,2010-03-17,60100.52097363836
247,2010-03-18,52248.13730562216
248,2010-03-19,54563.55730562216
249,2010-03-20,62601.70130562216
250,2010-03-21,65524.961305622135
251,2010-03-22,50793.26526179744
252,2010-03-23,51966.26469433712
253,2010-03-24,50658.78433465322
254,2010-03-25,51599.46433465334
255,2010-03-26,51815.934334653306
256,2010-03-27,61103.53033465324
257,2010-03-28,59581.17033465343
258,2010-03-29,55008.548334653315
259,2010-03-30,56623.45033465337
260,2010-03-31,54499.73133465339
261,2010-04-01,52628.66133465336
262,2010-04-02,59461.46933465323
263,2010-04-03,63455.13633465338
264,2010-04-04,66508.31333465331
265,2010-04-05,60456.7773346533
266,2010-04-06,53207.69933465323
267,2010-04-07,51864.86296386683
268,2010-04-08,51165.565963866866
269,2010-04-09,51729.78909769575
270,2010-04-10,57579.70009769569
271,2010-04-11,59554.01209769581
272,2010-04-12,48206.110355048804
273,2010-04-13,46962.363871532165
274,2010-04-14,47392.25387153214
275,2010-04-15,47206.80587153231
276,2010-04-16,47495.745871532294
277,2010-04-17,58180.20687153231
278,2010-04-18,59782.86287153231
279,2010-04-19,47754.04542350355
280,2010-04-20,47929.49842350364
281,2010-04-21,47609.34742350356
282,2010-04-22,46300.500423503574
283,2010-04-23,48124.9390242103
284,2010-04-24,59298.72402421032
285,2010-04-25,60318.09902421029
286,2010-04-26,47207.01402421033
287,2010-04-27,48493.25402421035
288,2010-04-28,47849.466024210305
289,2010-04-29,47177.400024210234
290,2010-04-30,49627.637024210184
291,2010-05-01,59419.79802421031
292,2010-05-02,60579.24702421029
